Unnamed: 1,name,birth_year,death_year
associatedWith,"Venable, Dolores Cameron.",,
associatedWith,"Wales, Edward Howe",1856,1922
associatedWith,"Walker, Franklin",1900,1978
associatedWith,"Walker, George Leon",1830,1900
associatedWith,"Walker, Harry,",,
associatedWith,"Wall, Elizabeth Baskerville.",,
associatedWith,"Wallace, Elizabeth",1865,1960
associatedWith,"Walpole, Hugh, Sir",1884,1941
associatedWith,"Walsh, Townsend",,
associatedWith,"Warner, Charles Dudley",1829,1900
associatedWith,"Warner, Elisabeth Gillette",1838,1915
associatedWith,"Warner, George H",1833,1919
associatedWith,"Watson, Charles W. (Charles White)",1841,1917
associatedWith,"Watterson, Henry",1840,1921
associatedWith,"Weaver, John V. A. (John Van Alstyne)",1893,1938
associatedWith,"Webb, Charles Henry",1834,1905
associatedWith,"Webster, Annie Moffett",1852,1950
associatedWith,"Webster, Charles L",1851,1891
associatedWith,"Webster, Jean",1876,1916
associatedWith,"Wecter, Dixon",1906,1950
associatedWith,"Weinert, Albert",1863,1937
associatedWith,"Whitaker, William Asbury",1883,1960
associatedWith,"White, Franklin Marshall, fl. 1897,",,
associatedWith,"Whitman, Walt",1819,1892
associatedWith,"Whitman, Walt",1819,1892
associatedWith,"Whitmore, Franklin G.,",,
associatedWith,"Whitney, William Dwight",1827,1894
associatedWith,"Wiggin, Kate Douglas Smith",1856,1923
associatedWith,"Wilber, Dora Prentice.",,
associatedWith,"Wilbur, Richard",,
associatedWith,"Wilcox, Ella Wheeler",1850,1919
correspondedWith,"Williams, Walter",1864,1935
associatedWith,"Wilson, Woodrow",1856,1924
associatedWith,"Wimberly, Lowry Charles, 1890-",,
correspondedWith,"Winter, William",1836,1917
associatedWith,"Winter, William",1836,1917
associatedWith,"Winters, Yvor",1900,1968
associatedWith,"Winzer, Frances N.",,
associatedWith,"Wood, Charles Erskine Scott",1852,1944
associatedWith,Woodrow Wilson.,,
associatedWith,"Woolley, Mary Emma",1863,1947
correspondedWith,"Wylie, Lollie Belle.",,
associatedWith,"Yevtushenko, Yevgeny",,
correspondedWith,"Young, John Russell",1840,1899
associatedWith,"Young, Owen D",1874,1962
associatedWith,"Young, Percy Marshall, 1912-",,
